Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C3, C4, C5, C6, C7, C8",0603,11,100n,
C9,0805,1,1u,
D1,LED_D5.0mm,1,Red,
D32,LED_D5.0mm,1,Green,
F1,0603,1,~,
"IC1, IC2",SOT65P210X110-6N,2,~,
"J1, J2",TBJ05081GG,2,TBJ05-08-1-G-G,
LS1,SPKR_CMS-3012-18T,1,~,
Q1,SOT95P260X110-3N,1,~,
"R10, R14",2010,2,330,
"R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30",0603,16,100,
RV1,Potentiometer_Bourns_PTA6043_Single_Slide,1,~,
"S1, S2",SW_TL3301FF160QG,2,~,
U1,XDCR_COM-09032,1,~,
U2,SOIC127P600X170-8N,1,~,
U3,lmv331,1,Comparator,
"U4, U5",LED_INND-TS56RCB,2,~,
"U6, U8",SOIC127P600X175-16N,2,~,74HC595N
